entry_date,exit_date,entry_price,exit_price,shares,position_pct,confidence,regime,pnl,pnl_pct,holding_days,exit_reason,stop_loss,take_profit
2024-12-30,2025-01-03,214.81,216.93,46.51,10.0,0.659,bull,88.68,0.89,4,signal,203.7,238.53
2025-01-13,2025-01-16,212.03,216.94,51.72,11.0,0.891,neutral,242.89,2.21,3,signal,201.97,231.83
2025-01-22,2025-01-28,217.75,219.87,53.51,11.6,0.557,bull,101.71,0.87,6,signal,207.31,240.01
2025-08-04,2025-08-06,249.04,249.09,40.27,10.0,0.686,neutral,-8.13,-0.08,2,signal,236.15,274.44
2025-08-07,2025-09-09,247.24,257.56,40.56,10.0,0.974,neutral,408.11,4.07,33,signal,233.44,274.47
2025-09-12,2025-09-15,252.18,254.71,47.29,11.8,0.795,bull,107.65,0.9,3,signal,238.69,281.0
2025-09-24,2025-10-10,266.2,276.16,46.2,12.2,0.92,bull,447.46,3.64,16,trailing_stop,251.66,297.26
2025-10-13,2025-10-15,275.84,279.07,36.69,10.0,0.846,bull,108.39,1.07,2,signal,256.54,317.22
