Date,Close,High,Low,Open,Volume,returns,log_returns,returns_2d,returns_3d,returns_5d,returns_10d,rsi_7,rsi_14,rsi_21,rsi_divergence,rsi_ma,rsi_oversold,rsi_overbought,rsi_neutral_zone,rsi_turning_up,rsi_turning_down,macd,macd_signal,macd_histogram,macd_above_signal,macd_hist_positive,macd_hist_slope,macd_crossover,macd_crossunder,macd_above_zero,momentum_5d,momentum_21d,momentum_63d,momentum_126d,momentum_252d,momentum_12_1,momentum_zscore,momentum_sharpe,momentum_positive,momentum_strong_positive,momentum_strong_negative,sma_5,price_to_sma_5,sma_10,price_to_sma_10,sma_20,price_to_sma_20,sma_50,price_to_sma_50,sma_200,price_to_sma_200,ema_12,ema_26,trend_up,golden_cross,death_cross,sma_20_slope,sma_50_slope,volatility_10d,volatility_20d,volatility_60d,volatility_ratio,atr_14,atr_percent,volatility_regime,high_volatility,volume_sma_20,volume_ratio,obv,obv_change,volume_trend,high_volume,bb_upper,bb_lower,bb_middle,bb_width,bb_position,bb_squeeze,in_squeeze,above_upper_bb,below_lower_bb,future_returns,target
2018-01-17,247.50442504882812,247.8939052426181,245.1675708995572,246.10585672637788,113258800,0.009531593447886122,0.009486454415648684,0.0060808519221564605,0.012639348762357505,0.018466891953832443,0.040331614140036276,87.17981282780181,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.018466891953832443,,,,,,,,0,0,0,245.14810485839843,1.0096118229908029,243.30872955322266,1.0172443278270773,,,,,,,244.14262320327012,243.45604450415948,0,0,0,,,0.06559903665594688,,,,0.0,0.0,,0,,,545766700,0.19827659834668143,,0,,,,,,,0,0,0,0.012767956499357247,1
2018-01-18,247.0884552001953,247.81428020492635,246.5927309580643,247.3894123023468,100728000,-0.0016806562086748578,-0.0016820700957148277,0.007834917907504346,0.004389975891944786,0.018313199248923384,0.032055224156935846,81.66582790559363,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.018313199248923384,,,,,,,,0,0,0,246.03682556152344,1.004274277382143,244.07617645263673,1.0123415516882415,,,,,,,244.66638246157066,243.9023433919253,0,0,0,,,0.0697298034910816,,,,0.0,0.0,,0,,,445038700,0.1532924023557254,,0,,,,,,,0,0,0,0.014902994092145683,1
2018-01-19,248.21258544921875,248.21258544921875,247.08841993280072,247.6726132154646,140920100,0.004549505350675442,0.004539187633046378,0.0028612029875867417,0.01242006825912223,0.015536715492384001,0.03239922200334777,84.71403268898072,,,,,0,0,0,0,0,,,,0,0,,0,0,0,0.015536715492384001,,,,,,,,0,0,0,246.7963073730469,1.0057386518106655,244.8551284790039,1.013712014083882,,,,,,,245.28213801864456,244.40728747148353,0,0,0,,,0.06989044223521504,,,,0.0,0.0,,0,,,585958800,0.3072233182203825,,0,,,,,,,0,0,0,0.02200350897468839,1
2018-01-22,250.23089599609375,250.23089599609375,247.9471223129029,248.00025782938982,91322400,0.00813137876639991,0.008098497233945933,0.01271787786828149,0.011015847279206126,0.017163684937464785,0.033904076489750246,88.66243078008944,88.77055895856174,,,,0,1,0,0,0,,,,0,0,,0,0,0,0.017163684937464785,,,,,,,,0,0,0,247.6407897949219,1.0104591259110294,245.67569274902343,1.0185415300801606,,,,,,,246.12475349722968,245.06134801420262,0,0,0,,,0.07227298408164962,,,,1.7223065479405986,0.006882869283925215,,0,,,677281200,0.25640453898709437,,0,,,,,,,0,0,0,0.007039396963205213,1
2018-01-23,250.761962890625,251.05405960456807,249.94758763535432,250.27509901608545,97084700,0.002122307448955141,0.0021200585358624193,0.010270943501081264,0.01486717656417147,0.02281857757957262,0.03420725886181386,89.49537619167391,89.33869694105427,,,,0,1,0,1,0,,,,0,0,,0,0,0,0.02281857757957262,,,,,,,,0,0,0,248.7596649169922,1.0080491263497278,246.50510864257814,1.0172688276988981,,,,,,,246.90156545687782,245.67801490482108,0,0,0,,,0.07211479777106675,,,,1.6783183637458232,0.006692874566777324,,0,,,774365900,0.7904086838645028,,0,,,,,,,0,0,0,-0.005400836415573207,0
2018-01-24,250.66455078125,252.0100378313035,249.4784162068684,251.40809661831878,134816100,-0.0003884644555023353,-0.0003885399273649866,0.0017330185524453423,0.009878489149104386,0.012767956499357247,0.03147063292633456,88.11011124084688,88.45467130342588,,,,0,1,0,0,1,,,,0,0,,0,0,0,0.012767956499357247,,,,,,,,0,0,0,249.39169006347657,1.0051038617904609,247.2698974609375,1.0137285345089317,,,,,,,247.5234284511947,246.19964752090996,0,0,0,,,0.07445374490418431,,,,1.7392685966522003,0.006938630098398021,,0,,,639549800,0.17183734368549786,,0,,,,,,,0,0,0,-0.004520150050354443,0
2018-01-25,250.77081298828125,251.62943637407932,249.97415852011795,251.53207980077693,84587300,0.0004239219574528885,0.00042383212792612576,3.529282333825101e-05,0.002157675174515372,0.014902994092145683,0.03348911484128414,88.33980579869728,88.58733825786243,,,,0,1,0,1,0,,,,0,0,,0,0,0,0.014902994092145683,,,,,,,,0,0,0,250.12816162109374,1.0025692883321193,248.0824935913086,1.0108363929999888,,,,,,,248.05402927639884,246.66366073523815,0,0,0,,,0.07163458140399724,,,,1.7332692578885693,0.00691176631456535,,0,,,724137100,0.6271328763094086,,0,,,,,,,0,0,0,-0.006071611722547887,0
2018-01-26,253.67413330078125,253.71840837989234,251.35497278104543,251.6116817967824,107743100,0.011577584639547611,0.01151107724427854,0.012006414589343484,0.011613286068535178,0.02200350897468839,0.037882086725846476,92.78361573326605,91.47105488408454,,,,0,1,0,1,0,,,,0,0,,0,0,0,0.02200350897468839,,,,,,,,0,0,0,251.22047119140626,1.0097669672289784,249.00838928222657,1.0187372964903063,,,,,,,248.963632431509,247.35628306489264,0,0,0,,,0.08092921041475,,,,1.8200068388687494,0.00717458581679973,,0,,,831880200,0.41969059940733033,,0,,,,,,,0,0,0,-0.0388372471276025,0
2018-01-29,251.99237060546875,253.54143151563187,251.83304510937253,253.0988426841567,90118300,-0.0066296183746824555,-0.006651691908070977,0.0048712112970044075,0.00529719826788555,0.007039396963205213,0.024323903892295995,73.78109065005943,79.0162607017177,,-9.754298256844038,,0,1,0,0,1,,,,0,0,,0,0,0,0.007039396963205213,,,,,,,,0,0,0,251.57276611328126,1.0016679249454155,249.60677795410157,1.0095574033322359,,,,,,,249.44993656946102,247.80326898748936,0,0,0,,,0.09411532664690189,,,,1.8215126497644611,0.007228443644495523,,0,,,741761900,0.09520521166097629,,0,,,,,,,0,0,0,-0.07288896133669098,0
2018-01-30,249.4076385498047,252.04545039632512,248.92963510248188,250.15118446037607,131796400,-0.0102571837768487,-0.010310151195360932,-0.016818800937491662,-0.005435937389333567,-0.005400836415573207,0.017294501759256065,53.96393781878623,64.48380463704223,,-24.85489230401204,,0,0,0,0,1,,,,0,0,,0,0,0,-0.005400836415573207,,,,,,,,0,0,0,251.3019012451172,0.9924622030874933,250.0307830810547,0.9975077287541511,246.18999328613282,1.0130697646184676,,,,,249.44319037569298,247.95457323164717,0,0,0,,,0.11078369616535892,,,,1.9139628386272312,0.007674034563480413,,0,93857095.0,1.404224155882941,609965500,-0.21230325353944435,1.169994021229828,0,255.0297477619385,237.35023881032714,246.18999328613282,7.1812459619605455,0.6819985652587147,,0,0,0,-0.04482557211517846,0
