Date,Close,High,Low,Open,Volume
2018-01-02,237.90914916992188,237.9445638340249,236.69646030576286,237.08594057047472,86655700
2018-01-03,239.4138946533203,239.56438667348354,238.0772683460729,238.0772683460729,90070400
2018-01-04,240.42298889160156,240.90985260537715,239.47586972893802,240.06008997738857,80636400
2018-01-05,242.02523803710938,242.1491488370831,240.72402606328453,241.21972329012516,83524000
2018-01-08,242.46780395507812,242.62712940296544,241.63573504259494,241.92783169705507,57319200
2018-01-09,243.01661682128906,243.6450852266759,242.60941575776872,242.8926790158339,57254000
2018-01-10,242.6448516845703,242.91042114233343,241.58265489393824,242.2553714239632,69574300
2018-01-11,244.4152374267578,244.4152374267578,243.0343625158082,243.20254842283845,62361500
2018-01-12,246.00856018066406,246.17671906522696,244.37980969297988,244.68079383624084,90816100
2018-01-16,245.16763305664062,247.92938275753912,244.46833521138885,247.27435999894735,106555100
2018-01-17,247.50453186035156,247.89401222222327,245.1676767026019,246.10596293434358,113258800
2018-01-18,247.0884246826172,247.8142495977025,246.59270050171241,247.38938174759787,100728000
2018-01-19,248.21261596679688,248.21261596679688,247.08845031216342,247.67264366665347,140920100
2018-01-22,250.2307891845703,250.2307891845703,247.94701647621253,248.00015197001844,91322400
2018-01-23,250.761962890625,251.05405960456807,249.94758763535432,250.27509901608545,97084700
2018-01-24,250.66452026367188,252.0100071499168,249.47838583369824,251.40806601021643,134816100
2018-01-25,250.77076721191406,251.62939044097675,249.97411288917417,251.53203388544608,84587300
2018-01-26,253.6741485595703,253.71842364134463,251.35498790033435,251.61169693151265,107743100
2018-01-29,251.99224853515625,253.54130869492224,251.83292311624058,253.09872007784622,90118300
2018-01-30,249.40768432617188,252.04549665683726,248.92968079111614,250.15123037321396,131796400
2018-01-31,249.5315399169922,250.7707830543738,248.45162225152941,250.2662523932975,108364800
2018-02-01,249.24826049804688,250.55833288050155,248.45160617652243,248.79683835681752,90102500
2018-02-02,243.8221435546875,248.05329075710972,243.78672889231302,247.92049252657358,173174800
2018-02-05,233.6248779296875,244.17620502116972,233.07607223276216,242.05178454355112,294681800
2018-02-06,238.2278594970703,238.7324172285853,228.99546331440234,230.09307492950654,355026800
2018-02-07,236.93548583984375,241.0869436819731,236.85579608877313,237.67017131776484,167376100
2018-02-08,228.0482940673828,237.37807290746164,228.01287940199202,237.23644125937324,246449500
2018-02-09,231.47390747070312,233.34161895839765,223.8790831879497,230.85427243881512,283565300
2018-02-12,234.87301635742188,236.35127480523568,231.61556933901875,233.53638956433988,143736000
2018-02-13,235.4571990966797,236.00600478745633,233.07606962142876,233.660289973586,81223600
2018-02-14,238.6349639892578,238.9978899526541,233.9523681371547,233.9612285551669,120735700
2018-02-15,241.67996215820312,241.68882257569675,237.90909813757196,240.3876108371316,111200300
2018-02-16,241.75079345703125,243.70705501502363,241.0072476620115,241.05152274132257,160420100
2018-02-20,240.23715209960938,242.24652217942594,239.4404978053543,240.79481820962945,86369700
2018-02-21,239.04217529296875,243.17596614234594,238.94481873353052,240.6797590858948,98883700
2018-02-22,239.3519744873047,241.6976893017276,238.67925800174504,239.97160950098848,110511300
2018-02-23,243.16717529296875,243.16717529296872,240.10446780201553,240.58247135699068,92766400
2018-02-26,245.99087524414062,246.08825883728576,243.65402018388957,244.24707411007765,86491400
2018-02-27,242.91928100585938,246.89374677809894,242.85731209095127,246.1767280734754,99099200
2018-02-28,240.45851135253906,244.47722558323298,240.1398603542312,244.02577632215116,121907800
2018-03-01,236.96202087402344,241.80394274303987,235.45720836106364,240.2460217426554,176855100
2018-03-02,238.18353271484375,238.75005924064004,234.41269520471468,235.2801518038168,139083200
2018-03-05,240.93643188476562,241.5560668527112,236.88230437934504,236.98854835566948,97307400
2018-03-06,241.5472412109375,241.99869038153636,240.04242865125707,241.91900063445243,79213200
2018-03-07,241.45872497558594,241.81279058404456,239.17497883957464,239.369718976248,87063500
2018-03-08,242.6271514892578,242.75106228884854,241.14005981333247,242.14028766954476,66901200
2018-03-09,246.84939575195312,246.84939575195312,243.7247208821867,244.04339876548187,113625300
2018-03-12,246.53965759277344,247.77006743405022,246.1501772842741,247.14159889630315,71924800
2018-03-13,244.94630432128906,248.21261126322244,244.33552972151472,247.70805363497897,91968900
2018-03-14,243.6893310546875,246.09701469919077,243.13169197567302,245.91113500618593,105895100
2018-03-15,243.4237518310547,244.84887428440152,242.91919429857282,244.20271215906874,83433000
2018-03-16,243.6877899169922,244.7453721636449,243.63446872150266,243.9543958944399,100343700
